Player,T_x,TA,CG,PG,DGC,PTS,K,P,R,MR,CB,DB,O,LWS,TC,T_y,MT,LW,PC,YC,RC,team,score,competition,postition
M Lamoulie,0,0,0,0,0,0,0,3,6,64,0,2,0,0,0,2,1,0,1,0,0,Agen,26,Top 14 Orange 2018,FB
G Tilsley,1,0,0,0,0,5,0,3,13,98,1,2,1,0,1,3,1,0,0,0,0,Agen,26,Top 14 Orange 2018,W
J Heriteau,0,0,0,0,0,0,0,2,3,9,1,1,2,0,0,4,3,0,0,0,0,Agen,26,Top 14 Orange 2018,C
P Fouyssac,0,0,0,0,0,0,0,1,5,7,0,0,0,0,1,11,1,0,0,0,0,Agen,26,Top 14 Orange 2018,C
F Nakosi,0,0,0,0,0,0,1,0,5,17,0,2,0,0,0,3,1,0,1,0,0,Agen,26,Top 14 Orange 2018,W
J McIntyre,0,1,2,3,0,13,15,25,3,0,0,0,0,0,1,4,1,0,0,0,0,Agen,26,Top 14 Orange 2018,FH
R Januarie,0,0,0,0,0,0,7,54,6,16,1,0,0,0,0,3,0,0,0,0,0,Agen,26,Top 14 Orange 2018,SH
Q Bethune,0,0,0,0,0,0,0,0,6,8,0,0,0,0,1,12,1,0,0,0,0,Agen,26,Top 14 Orange 2018,P
F Bosch,0,0,0,0,0,0,0,2,13,31,0,0,1,0,1,17,2,11,2,0,0,Agen,26,Top 14 Orange 2018,H
D Ryan,0,0,0,0,0,0,0,1,6,5,0,0,0,0,0,8,0,0,0,0,0,Agen,26,Top 14 Orange 2018,P
D Marchois,1,0,0,0,0,5,0,1,8,3,0,0,0,0,0,6,1,0,0,0,0,Agen,26,Top 14 Orange 2018,L
C Braendlin,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,0,1,0,0,Agen,26,Top 14 Orange 2018,L
Y Tanga,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,12,0,0,0,0,0,Agen,26,Top 14 Orange 2018,F
A Erbani,0,0,0,0,0,0,0,4,11,14,0,0,0,0,1,11,1,0,0,0,0,Agen,26,Top 14 Orange 2018,F
A Qera,0,0,0,0,0,0,0,3,6,4,0,0,1,0,2,5,2,0,0,0,0,Agen,26,Top 14 Orange 2018,N8
P Ngauamo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,Agen,26,Top 14 Orange 2018,R
K Tufele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,Agen,26,Top 14 Orange 2018,R
T Murday,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,5,0,0,0,0,0,Agen,26,Top 14 Orange 2018,R
A Miquel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Agen,26,Top 14 Orange 2018,R
H Verdu,0,0,0,1,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Agen,26,Top 14 Orange 2018,R
J Sadie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Agen,26,Top 14 Orange 2018,R
C Laporte,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,Agen,26,Top 14 Orange 2018,R
A Joly,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,Agen,26,Top 14 Orange 2018,R
C Ashton,3,0,0,0,0,15,2,5,9,92,3,0,0,0,1,0,1,0,0,0,0,Toulon,24,Top 14 Orange 2018,FB
J Tuisova,0,0,0,0,0,0,0,0,8,20,0,1,0,0,2,1,0,0,1,0,0,Toulon,24,Top 14 Orange 2018,W
M Fekitoa,0,0,0,0,0,0,0,6,11,50,2,5,3,0,0,3,0,0,1,0,0,Toulon,24,Top 14 Orange 2018,C
M Nonu,1,0,0,0,0,5,1,9,6,5,0,2,0,0,1,5,0,0,1,0,0,Toulon,24,Top 14 Orange 2018,C
S Radradra,0,2,0,0,0,0,0,4,7,51,1,3,1,0,2,2,2,1,1,0,0,Toulon,24,Top 14 Orange 2018,W
L McAlister,0,0,2,0,0,4,11,14,2,0,0,0,0,0,2,0,0,0,0,0,0,Toulon,24,Top 14 Orange 2018,FH
A Meric,0,2,0,0,0,0,3,57,8,35,2,3,2,0,1,5,1,0,0,0,0,Toulon,24,Top 14 Orange 2018,SH
F Fresia,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,11,1,0,1,0,0,Toulon,24,Top 14 Orange 2018,P
A Etrillard,0,0,0,0,0,0,0,1,11,12,0,0,0,0,2,16,0,9,0,0,0,Toulon,24,Top 14 Orange 2018,H
M Merwe,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,8,2,0,1,0,0,Toulon,24,Top 14 Orange 2018,P
M Gorgodze,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,12,0,0,1,0,0,Toulon,24,Top 14 Orange 2018,L
J Kruger,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,13,0,0,1,0,0,Toulon,24,Top 14 Orange 2018,L
S Manoa,0,0,0,0,0,0,0,2,10,15,0,0,1,0,0,7,0,0,0,0,0,Toulon,24,Top 14 Orange 2018,F
